"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000189337",1.45116806811233,4.64270860117987,5.99743301402012,1.00051196116018e-05,0.000285324147403543,"ENSG00000189337","KAZN"
"ENSG00000205763",3.32093611136819,-0.920272147707339,5.98739292109205,1.0198161812535e-05,0.000290484295898683,"ENSG00000205763","RP9P"
"ENSG00000021300",-1.8889458862118,3.54878218056046,-5.97784549781712,1.03782288667998e-05,0.000295263070556395,"ENSG00000021300","PLEKHB1"
"ENSG00000108984",-1.61666753651463,5.41085698474337,-5.9707690933282,1.05165503444938e-05,0.000298844268487555,"ENSG00000108984","MAP2K6"
"ENSG00000103942",-1.80981168902762,3.9186174937778,-5.96185991106393,1.06934264575232e-05,0.000303511295624168,"ENSG00000103942","HOMER2"
"ENSG00000198719",2.65031536730312,1.07898884412434,5.95975631816167,1.07359632324651e-05,0.000304358853763815,"ENSG00000198719","DLL1"
"ENSG00000169900",3.363483533143,0.0720833732859256,5.95738964397594,1.07876436252974e-05,0.000305463323974813,"ENSG00000169900","PYDC1"
"ENSG00000159184",3.83602083388255,-6.14951077831764,5.94390988602308,1.10726382379167e-05,0.000313056122244553,"ENSG00000159184","HOXB13"
"ENSG00000163683",1.55913407103624,4.95377707155345,5.94264534561083,1.10854948483591e-05,0.000313056122244553,"ENSG00000163683","SMIM14"
"ENSG00000079385",3.22540099563452,1.66486580690068,5.94233772246743,1.1094900884146e-05,0.000313056122244553,"ENSG00000079385","CEACAM1"
"ENSG00000277103",-2.87137158852854,0.530592513082571,-5.93855726118858,1.1171717735143e-05,0.000314853622366496,"ENSG00000277103",NA
"ENSG00000197747",-1.48132449637828,4.95442692817423,-5.93712436792656,1.12008885304991e-05,0.000314971763333167,"ENSG00000197747","S100A10"
"ENSG00000141744",-3.57352700282181,-0.539740227929683,-5.93743037525702,1.12021441731853e-05,0.000314971763333167,"ENSG00000141744","PNMT"
"ENSG00000228327",1.28361941056696,6.80397158156569,5.92730757199277,1.14091599166933e-05,0.000320417249028819,"ENSG00000228327",NA
"ENSG00000070731",5.93578676646768,-4.22086370211316,5.93019844620169,1.15317236254577e-05,0.000323213334503294,"ENSG00000070731","ST6GALNAC2"
"ENSG00000165140",-2.38106224536746,1.09441098465911,-5.92118071478686,1.15412619049142e-05,0.000323213334503294,"ENSG00000165140","FBP1"
"ENSG00000107821",3.09295633972104,0.297859889617908,5.92091161529032,1.15491021574141e-05,0.000323213334503294,"ENSG00000107821","KAZALD1"
"ENSG00000123560",-1.70178038444588,4.77083166313016,-5.9159216070857,1.16557683759714e-05,0.000325818754649389,"ENSG00000123560","PLP1"
"ENSG00000173535",1.76359185216277,3.03570881722596,5.91454072025823,1.16860512138203e-05,0.000326285420635178,"ENSG00000173535","TNFRSF10C"
"ENSG00000110328",-2.28033269942737,1.9382440213007,-5.91271143781011,1.17263352058112e-05,0.000327029919816421,"ENSG00000110328","GALNT18"
"ENSG00000261812",2.41270402140544,0.734252599471003,5.91175081172316,1.17475839849921e-05,0.000327242443906764,"ENSG00000261812","TUBB8P7"
"ENSG00000184160",1.47457927240859,4.56955257610163,5.9071836558945,1.18487732606289e-05,0.00032932330988762,"ENSG00000184160","ADRA2C"
"ENSG00000288611",3.56322515840604,-2.36877740986247,5.90750260131124,1.18497142988049e-05,0.00032932330988762,"ENSG00000288611","NPBWR1"
"ENSG00000076554",1.47783752431372,5.49343903063207,5.9036858752826,1.19269599400504e-05,0.0003310868925786,"ENSG00000076554","TPD52"
"ENSG00000109705",6.35422983846542,-4.56463583954486,5.90923356052459,1.20622387728623e-05,0.000334140022406964,"ENSG00000109705","NKX3-2"
"ENSG00000158555",2.01217080756093,2.98671036704599,5.89757828085364,1.20647759214908e-05,0.000334140022406964,"ENSG00000158555","GDPD5"
"ENSG00000187955",-1.93359725772243,3.33336664374092,-5.89521475948963,1.21185462976456e-05,0.000335242550344547,"ENSG00000187955","COL14A1"
"ENSG00000101230",2.87974288566722,0.469851039094149,5.89177902514622,1.21981940954682e-05,0.000337057579540142,"ENSG00000101230","ISM1"
"ENSG00000122254",-4.97929916169105,-2.31141575080704,-5.88798858878079,1.23685479328532e-05,0.000341371922946749,"ENSG00000122254","HS3ST2"
"ENSG00000153162",-3.70764891092059,-0.427475910991723,-5.87677866946246,1.25586139548227e-05,0.000346219791369924,"ENSG00000153162","BMP6"
"ENSG00000168769",1.75990952398874,3.18937923460848,5.87408310377934,1.26105151654138e-05,0.000347251938247611,"ENSG00000168769","TET2"
"ENSG00000177614",-1.75469150610281,4.59054457145727,-5.86112050233252,1.29225177007849e-05,0.000355435847687569,"ENSG00000177614","PGBD5"
"ENSG00000255319",4.04720646043555,-0.356715961076542,5.85680349683953,1.30526037873572e-05,0.000358603114578972,"ENSG00000255319","ENPP7P8"
"ENSG00000147613",3.9261747358773,-1.71520616886543,5.85428681335189,1.31098878647015e-05,0.000359460920227277,"ENSG00000147613","PSKH2"
"ENSG00000258818",4.59996180332606,0.768100544380821,5.85564461782902,1.31137667049431e-05,0.000359460920227277,"ENSG00000258818","RNASE4"
"ENSG00000048740",-1.69778409566182,4.3869594815648,-5.84695692741585,1.3272602256728e-05,0.000363399914924234,"ENSG00000048740","CELF2"
