"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000166888",-2.03406204920212,6.17530885323791,-9.76759819711065,1.66495261463468e-07,5.61898491725399e-06,"ENSG00000166888","STAT6"
"ENSG00000120949",5.52917399014606,2.08505112467762,9.78033094774502,1.66543352428724e-07,5.61898491725399e-06,"ENSG00000120949","TNFRSF8"
"ENSG00000137486",-2.81172022951962,4.79210725686756,-9.76464428286958,1.67083294280692e-07,5.62885053621176e-06,"ENSG00000137486","ARRB1"
"ENSG00000155511",6.08411366367775,-2.30924153631053,9.77773357837241,1.68245402508844e-07,5.65961605480932e-06,"ENSG00000155511","GRIA1"
"ENSG00000173673",6.74789268089267,0.789714105412221,9.77920937540467,1.69699084963617e-07,5.70008447868931e-06,"ENSG00000173673","HES3"
"ENSG00000089472",-1.85574997817728,6.40988157653895,-9.74909048064379,1.70047795969133e-07,5.70030445320345e-06,"ENSG00000089472","HEPH"
"ENSG00000173706",-2.68047085823917,5.42587053326754,-9.7483568538723,1.70206979935143e-07,5.70030445320345e-06,"ENSG00000173706","HEG1"
"ENSG00000108984",2.45611045982603,4.58124224739017,9.74380594351962,1.71083329331006e-07,5.71300371085747e-06,"ENSG00000108984","MAP2K6"
"ENSG00000120318",2.09014338829405,5.4851426006695,9.74375007328289,1.71088633557341e-07,5.71300371085747e-06,"ENSG00000120318","ARAP3"
"ENSG00000163637",-3.31151821889725,4.3394403783058,-9.72256254890965,1.75403773393002e-07,5.84177488578519e-06,"ENSG00000163637","PRICKLE2"
"ENSG00000184795",-5.70486131001802,-2.42616155977607,-9.73653181153552,1.75458761960918e-07,5.84177488578519e-06,"ENSG00000184795","UNC93B5"
"ENSG00000274252",-5.4962698087444,-2.13407959885285,-9.73005134844863,1.76319656516734e-07,5.86185524735459e-06,"ENSG00000274252","GGTLC3"
"ENSG00000198774",-7.13992009661142,1.065146939003,-9.74920942199758,1.76812709071851e-07,5.86966569969912e-06,"ENSG00000198774","RASSF9"
"ENSG00000184500",-2.98434699856252,2.50152670526441,-9.68316567526833,1.83429822395009e-07,6.08045796102406e-06,"ENSG00000184500","PROS1"
"ENSG00000169122",-2.94706940873475,3.97948351558636,-9.66859070730044,1.86520378128091e-07,6.17390596598658e-06,"ENSG00000169122","FAM110B"
"ENSG00000125966",2.94521007406606,3.59341432706808,9.65382229542286,1.89714603613013e-07,6.27050884616267e-06,"ENSG00000125966","MMP24"
"ENSG00000138061",-5.30438685696191,3.32683440600187,-9.65898842426449,1.90893656511613e-07,6.30032184190722e-06,"ENSG00000138061","CYP1B1"
"ENSG00000137267",-1.80799895377073,8.50482027283142,-9.64551144371381,1.91489535534521e-07,6.30914672864865e-06,"ENSG00000137267","TUBB2A"
"ENSG00000185818",2.58131749375608,4.60364568130183,9.64442463979431,1.91741948382859e-07,6.30914672864865e-06,"ENSG00000185818","NAT8L"
"ENSG00000100139",-1.69998169630059,6.80004684445083,-9.64322904359503,1.91993383299247e-07,6.30914672864865e-06,"ENSG00000100139","MICALL1"
"ENSG00000176532",-2.3684065659215,4.57040695378407,-9.63453712199418,1.9393000902141e-07,6.36359077221769e-06,"ENSG00000176532","PRR15"
"ENSG00000265916",-3.41611602898512,2.04812525101865,-9.63225852016401,1.94608542801579e-07,6.37665455808055e-06,"ENSG00000265916",NA
"ENSG00000102271",3.40080361908738,3.94382738566745,9.60990228625556,1.99687088214484e-07,6.52523104582864e-06,"ENSG00000102271","KLHL4"
"ENSG00000100341",4.13112970217675,1.12611820497501,9.6109456582451,1.99932762518093e-07,6.52523104582864e-06,"ENSG00000100341","PNPLA5"
"ENSG00000135378",-3.18515726823636,2.215662787515,-9.60822344184144,2.0000378359466e-07,6.52523104582864e-06,"ENSG00000135378","PRRG4"
"ENSG00000122735",-7.28015427504016,-0.191021863643701,-9.64142200162643,2.00632903391878e-07,6.53637854316805e-06,"ENSG00000122735","DNAI1"
"ENSG00000164626",2.02973048746852,4.83341832486964,9.60273468707949,2.01174036674747e-07,6.54463175104972e-06,"ENSG00000164626","KCNK5"
"ENSG00000005073",-4.82537563328201,-2.75065590442347,-9.60651466169655,2.01879061374424e-07,6.55818550807773e-06,"ENSG00000005073","HOXA11"
"ENSG00000188191",2.42264542903792,5.81376479929869,9.59575703505179,2.02808716048174e-07,6.57898745069255e-06,"ENSG00000188191","PRKAR1B"
"ENSG00000151379",-4.79919641672578,-2.30414583571679,-9.60084834617065,2.03161610822338e-07,6.58104705142444e-06,"ENSG00000151379","MSGN1"
"ENSG00000175229",2.24023941116977,4.16835464208298,9.58914776529963,2.04360406283191e-07,6.61046321320024e-06,"ENSG00000175229","GAL3ST3"
"ENSG00000168143",-2.55503687777531,3.5549442922687,-9.5754723488453,2.07630220956268e-07,6.70669208032035e-06,"ENSG00000168143","FAM83B"
"ENSG00000107554",-2.06790601252527,6.2141808505338,-9.57376359142692,2.08029812323117e-07,6.71006798897543e-06,"ENSG00000107554","DNMBP"
"ENSG00000083307",-2.3859767370678,6.26508316639643,-9.5656902394048,2.09989305632283e-07,6.7636782012438e-06,"ENSG00000083307","GRHL2"
"ENSG00000019186",-6.94861085759379,-0.873617940782033,-9.59304887064057,2.10914420956213e-07,6.78386694843604e-06,"ENSG00000019186","CYP24A1"
"ENSG00000221869",-3.27726147588709,2.42670050706208,-9.55181253156951,2.13527898979294e-07,6.85822658586036e-06,"ENSG00000221869","CEBPD"
"ENSG00000130522",-2.32959512620787,7.50740710557663,-9.54848092671192,2.14220477401926e-07,6.87076679283469e-06,"ENSG00000130522","JUND"
"ENSG00000178233",5.17968611405253,2.14317761851638,9.55681670595422,2.14539596420674e-07,6.87131045437484e-06,"ENSG00000178233","TMEM151B"
"ENSG00000156475",3.3890320083878,2.91702031887813,9.54645300337304,2.14902448591048e-07,6.87325130936769e-06,"ENSG00000156475","PPP2R2B"
"ENSG00000060140",-3.49087997843543,2.59655948143058,-9.53900889500213,2.16814345006012e-07,6.92466040089424e-06,"ENSG00000060140","STYK1"
