"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000118515",4.39307696455997,4.65548220233476,27.2919615069994,5.6687035526537e-15,4.86131820379717e-12,"ENSG00000118515","SGK1"
"ENSG00000196352",2.8201135794407,5.13665131901832,26.6145532026381,8.34460523090452e-15,6.90933313118895e-12,"ENSG00000196352","CD55"
"ENSG00000184304",3.86512622471814,4.14309279827926,26.346879485697,9.7529043816826e-15,7.80622466709875e-12,"ENSG00000184304","PRKD1"
"ENSG00000106038",14.7197317042709,-1.30784380933083,26.0643833331864,1.2919836601306e-14,1.0007455370018e-11,"ENSG00000106038","EVX1"
"ENSG00000134917",-4.3173311516534,3.32312733380826,-25.8027089593185,1.34529756872045e-14,1.00947766312861e-11,"ENSG00000134917","ADAMTS8"
"ENSG00000169242",4.99995444204966,2.91107090178272,24.9101527736608,2.31412195522592e-14,1.68383928451166e-11,"ENSG00000169242","EFNA1"
"ENSG00000105880",12.6601547722082,-2.37212812282227,24.6308884235458,2.986061440631e-14,2.00840096595909e-11,"ENSG00000105880","DLX5"
"ENSG00000059804",1.86637048928665,9.64851065532478,24.4907611434974,2.99775655610111e-14,2.00840096595909e-11,"ENSG00000059804","SLC2A3"
"ENSG00000140564",2.25585141703617,6.8750783684712,24.4836781864298,3.01109590098815e-14,2.00840096595909e-11,"ENSG00000140564","FURIN"
"ENSG00000174640",6.38930700253376,3.68767037934568,24.3911306113202,3.21567902852583e-14,2.08688877926925e-11,"ENSG00000174640","SLCO2A1"
"ENSG00000128591",3.24591332889197,5.53758475232206,23.9939431460315,4.1054650593027e-14,2.59422176326254e-11,"ENSG00000128591","FLNC"
"ENSG00000158473",6.30182553269764,3.10584767246814,23.6057053796155,5.30920549361019e-14,3.26883698237353e-11,"ENSG00000158473","CD1D"
"ENSG00000125378",4.83304653878874,3.10961498643065,23.52058328081,5.5798127666391e-14,3.34956160381345e-11,"ENSG00000125378","BMP4"
"ENSG00000114315",3.52840491504804,3.63865767048497,23.3394408317467,6.27235719989881e-14,3.67345953863342e-11,"ENSG00000114315","HES1"
"ENSG00000074410",4.33140072513166,4.20796489510142,23.2236611813707,6.77245182046285e-14,3.87190745507033e-11,"ENSG00000074410","CA12"
"ENSG00000162545",3.18393106668979,4.06878014235024,22.9115914981768,8.32462444840103e-14,4.6013036451187e-11,"ENSG00000162545","CAMK2N1"
"ENSG00000138650",5.45726255143972,4.10587624433996,22.8973477571382,8.4315075955865e-14,4.6013036451187e-11,"ENSG00000138650","PCDH10"
"ENSG00000111186",6.75236328583063,2.6379561927868,22.623561864532,1.02030944360496e-13,5.44437119107609e-11,"ENSG00000111186","WNT5B"
"ENSG00000170382",3.47275788435352,5.22314357257976,22.4443533722007,1.14073416842164e-13,5.95463235916098e-11,"ENSG00000170382","LRRN2"
"ENSG00000166450",3.77723819870661,5.06248607622102,21.318260448823,2.50193125055469e-13,1.27822070613445e-10,"ENSG00000166450","PRTG"
"ENSG00000174721",-2.50916071958176,6.01244696586427,-21.2403451750154,2.64480102071777e-13,1.32306171061406e-10,"ENSG00000174721","FGFBP3"
"ENSG00000011028",2.98990346319092,6.66385052746366,21.1866636581581,2.74875043639903e-13,1.34699990773089e-10,"ENSG00000011028","MRC2"
"ENSG00000109436",4.2163988605104,2.31652040088263,21.1324915768106,2.85960698050522e-13,1.37110408289954e-10,"ENSG00000109436","TBC1D9"
"ENSG00000170421",1.72306995745422,9.12239958815397,21.1064261300219,2.91214010610847e-13,1.37110408289954e-10,"ENSG00000170421","KRT8"
"ENSG00000179023",-5.18296320590138,4.03150433901187,-21.027374543225,3.09088870287159e-13,1.42727729871832e-10,"ENSG00000179023","KLHDC7A"
"ENSG00000182866",-2.71395504127509,5.37845125635535,-20.7778350883944,3.69733172565644e-13,1.67510055465023e-10,"ENSG00000182866","LCK"
"ENSG00000166833",2.76677985709781,7.24625713145415,20.7267847246675,3.83825110471115e-13,1.70674232456156e-10,"ENSG00000166833","NAV2"
"ENSG00000284727",4.28146063875024,3.96780392971753,20.0144013067757,6.53246220257046e-13,2.85195422560222e-10,"ENSG00000284727",NA
"ENSG00000164695",2.82639510627219,3.90551334615817,19.97626193521,6.7197756472401e-13,2.88134380074159e-10,"ENSG00000164695","CHMP4C"
"ENSG00000116285",2.56048301052932,6.43999067941062,19.9289474866999,6.96574669357283e-13,2.93441244922931e-10,"ENSG00000116285","ERRFI1"
"ENSG00000188483",7.01717332421044,0.910924027052406,19.8679367337602,7.38782571265897e-13,3.05855984504082e-10,"ENSG00000188483","IER5L"
"ENSG00000164120",8.27735874307224,2.97375183624101,19.8393891785422,7.64081961750408e-13,3.06632360591381e-10,"ENSG00000164120","HPGD"
"ENSG00000136014",-2.84050996313026,6.33528036761329,-19.7762236711102,7.82735195740836e-13,3.06632360591381e-10,"ENSG00000136014","USP44"
"ENSG00000249321",8.66732454896242,-3.71177606110918,19.8124519542443,7.83432529422496e-13,3.06632360591381e-10,"ENSG00000249321","OR5H5P"
"ENSG00000198720",-2.70052134990818,4.39513992161851,-19.7612975647609,7.91737729329735e-13,3.06632360591381e-10,"ENSG00000198720","ANKRD13B"
"ENSG00000134569",2.81757550355422,6.1169714593418,19.6805522282534,8.42411251053217e-13,3.16400327511044e-10,"ENSG00000134569","LRP4"
"ENSG00000165566",9.27104176427657,0.37825012249037,19.7260645471892,8.43312550420907e-13,3.16400327511044e-10,"ENSG00000165566","AMER2"
"ENSG00000143768",-4.03510497451451,4.27128140315931,-19.6299302854829,8.76283363905954e-13,3.23712555909381e-10,"ENSG00000143768","LEFTY2"
"ENSG00000234685",4.43574362219573,1.93207094276895,19.5087070546164,9.62897811402487e-13,3.50319731021159e-10,"ENSG00000234685","NUS1P2"
"ENSG00000133083",3.06743414640571,5.35717492295484,19.3867685310366,1.0578530843421e-12,3.79121914346605e-10,"ENSG00000133083","DCLK1"
"ENSG00000166073",-2.39377506882178,6.37986057297587,-19.3610237097458,1.07930691426365e-12,3.811223180191e-10,"ENSG00000166073","GPR176"
"ENSG00000165795",2.42770747039713,5.12255324107407,19.182573346628,1.24156157417963e-12,4.27653216013635e-10,"ENSG00000165795","NDRG2"
"ENSG00000155760",-2.13466628494754,7.61608037196308,-19.1744433650522,1.24954297877601e-12,4.27653216013635e-10,"ENSG00000155760","FZD7"
"ENSG00000183691",10.0920580504667,0.187206454652193,19.2194099035222,1.26450850978544e-12,4.27653216013635e-10,"ENSG00000183691","NOG"
"ENSG00000115596",10.2745792147932,-3.13052445221412,19.1320149332162,1.35827329055245e-12,4.51429647691803e-10,"ENSG00000115596","WNT6"
"ENSG00000185269",8.5497536556838,1.14997772544637,19.0764767352833,1.38777919167614e-12,4.51429647691803e-10,"ENSG00000185269","NOTUM"
"ENSG00000214336",3.61392882444869,4.33955734146523,19.0388861375454,1.39121247414598e-12,4.51429647691803e-10,"ENSG00000214336","FOXI3"
"ENSG00000049089",5.05768158832714,3.92332472449159,19.0144386173019,1.4213431994101e-12,4.55057238723138e-10,"ENSG00000049089","COL9A2"
